experiment,train_MAE,train_MSE,train_RMSE,train_R2,val_MAE,val_MSE,val_RMSE,val_R2,test_MAE,test_MSE,test_RMSE,test_R2
Dummy_median,7.403928348460837,152.9865053066321,12.368771374175855,-0.0009778596139395912,7.3369189396849785,150.33269304648482,12.26102332786643,-0.0011914889344064594,7.453749231714813,153.35141364474492,12.38351378425142,-0.00256320957865519
HGBR_absErr_tuned,7.403928348460837,152.9865053066321,12.368771374175855,-0.0009778596139395912,7.3369189396849785,150.33269304648482,12.26102332786643,-0.0011914889344064594,7.453749231714813,153.35141364474492,12.38351378425142,-0.00256320957865519
HuberRegressor_strict,7.403599396516651,152.9495770955363,12.367278483786816,-0.000736241429198925,7.338164124781229,150.32489878240807,12.260705476537966,-0.0011395803927713999,7.45723326100095,153.39044898842485,12.385089785238735,-0.002818410352593892
HuberRegressor,7.403599396516651,152.9495770955363,12.367278483786816,-0.000736241429198925,7.338164124781229,150.32489878240807,12.260705476537966,-0.0011395803927713999,7.45723326100095,153.39044898842485,12.385089785238735,-0.002818410352593892
HGBR_absErr_baseline,7.403928348460837,152.88634893764797,12.364721951489567,-0.00032254490071381703,7.340429705115164,150.13728613535693,12.253052115100013,0.00010988957705082569,7.45826914063373,153.37927200809466,12.384638549755687,-0.002745338777921713
GBR_absErr,7.4029145005740356,152.8769886534038,12.364343438023864,-0.0002613013467851477,7.343706541406501,150.46317823745036,12.266343311576207,-0.0020604992606321204,7.463301970304543,153.5070064949723,12.389794449262357,-0.0035804265941619118
SGD_interactions_huber,7.485634811189258,152.51305250789358,12.349617504517845,0.002119902297541554,7.421684933896708,149.92319373990506,12.244312709985198,0.0015357104003744793,7.544988600423232,153.05728482744206,12.371632262051845,-0.000640288073752382
SGD_baseline_huber,7.494253823798766,152.61460479376575,12.353728376233862,0.001455454217317076,7.429802230474185,150.0160828885978,12.248105277494874,0.0009170836519214465,7.551660607049979,153.19618357797975,12.377244587466944,-0.0015483643270832737
SGD_poly2_huber,7.488265374779743,152.54715733759568,12.35099823243432,0.0018967572602112126,7.4307212288734235,149.99082583975328,12.247074174665281,0.0010852915235844973,7.550120384378077,153.20070028293134,12.377427046156699,-0.0015778931204954993
Dummy_mean,7.56509643074854,152.83705212584465,12.362728344740276,0.0,7.495684433432113,150.1551101026407,12.253779421168014,-8.815170279508067e-06,7.606176156920238,153.01673610050346,12.369993375119627,-0.0003751932770517108
Stacking_linear+trees,7.939727046936099,164.51218455608074,12.82623033303553,-0.07638941125757182,7.567339731111301,149.4097048483464,12.223326259588525,0.004955463598914744,7.6891027919491854,152.99565653340576,12.369141301376008,-0.00023738171116050033
HGBR_tuned,7.60290089186715,150.84033370726806,12.28170727982344,0.01306436097009056,7.573242682379467,149.53945717523865,12.228632678073156,0.0040913340292156875,7.67898819894521,152.4889213648297,12.348640466254968,0.0030754931097453087
HGBR_baseline,7.611764314428333,148.7485398543237,12.196251057366919,0.026750792524802836,7.654213923659072,150.16369574234568,12.254129742349951,-6.599414595975794e-05,7.7547283040434865,152.82222397459395,12.362128618267727,0.0008964656964062234
Lasso_alpha0.01,7.739181548381772,151.3968462782398,12.30434257805917,0.009423145942510036,7.677394438203677,149.19925787578623,12.214714809433179,0.006357006493739936,7.810459838964355,153.22215262752687,12.378293607259721,-0.0017181417881764194
ElasticNet_a0.01_l1r0.8,7.742517599700633,151.39056677488364,12.304087401139657,0.009464232205747991,7.681333896102495,149.2128656791055,12.215271821744512,0.006266380718399467,7.814516937644983,153.24289343435174,12.37913136832919,-0.0018537386461734418
ElasticNet_a0.01_l1r0.5,7.747694433442441,151.38290984361052,12.303776243235673,0.009514330864199061,7.687432855955705,149.2387530838584,12.216331408563637,0.006093974778055067,7.820639311385953,153.2768280543947,12.380501930632485,-0.0020755924966042727
ElasticNet_a0.01_l1r0.2,7.752998520444823,151.37765671457447,12.303562765092657,0.009548701646433955,7.693387736005747,149.2640744697456,12.217367738991308,0.005925338432064553,7.826790711506359,153.32088506851895,12.38228109309908,-0.0023636233691932684
Lasso_alpha0.001,7.761449216262012,151.37254271338503,12.303354937308159,0.009582162126849592,7.703331524885088,149.31971559047403,12.219644658928264,0.005554777542219669,7.836076584914076,153.36726931446083,12.384153960382632,-0.002666868949916079
Lasso_baseline,7.761449216262012,151.37254271338503,12.303354937308159,0.009582162126849592,7.703331524885088,149.31971559047403,12.219644658928264,0.005554777542219669,7.836076584914076,153.36726931446083,12.384153960382632,-0.002666868949916079
ElasticNet_a0.001_l1r0.8,7.761834058024593,151.37244103979543,12.303350805361742,0.009582827368610047,7.70375651782476,149.3209880173061,12.219696723622322,0.005546303384744489,7.836483170127221,153.36912776598322,12.384228993602436,-0.002679018920228371
ElasticNet_a0.001_l1r0.5,7.762417028006162,151.37232313563362,12.303346013814032,0.009583598805641524,7.704394048950509,149.32301113078248,12.219779504180199,0.005532829775294235,7.837100758122019,153.37210378576674,12.38434914663531,-0.002698475199600203
Lasso_alpha0.0005,7.762869541281978,151.3722642899613,12.303343622363853,0.009583983827935016,7.704951881477905,149.32658075028579,12.219925562387267,0.00550905668513646,7.837586558073408,153.37400942851917,12.384426083937809,-0.002710933691300932
ElasticNet_a0.001_l1r0.2,7.7630046225997,151.37224521553918,12.303342847191537,0.009584108630277477,7.7050550581513555,149.3254839652695,12.219880685394171,0.005516361096447375,7.837732849188755,153.3751442776622,12.384471901444252,-0.0027183529773198156
ElasticNet_a0.0005_l1r0.8,7.763063508828302,151.3722391042682,12.303342598833384,0.009584148615810362,7.705164509277235,149.32723463387848,12.219952317168774,0.0055047019258722685,7.837792668263856,153.37497038107682,12.384464880691326,-0.0027172160962527503
ElasticNet_a0.0005_l1r0.5,7.763357121009676,151.37220970549353,12.303341404085865,0.009584340969524763,7.705483684146681,149.32831179007948,12.219996390755583,0.005497528239305272,7.838104947006817,153.37652667864285,12.38452771318482,-0.002727390679230446
ElasticNet_a0.0005_l1r0.2,7.763652733669357,151.37219015994322,12.303340609767057,0.009584468854419437,7.705814326574658,149.32957924028796,12.22004825032569,0.005489087225340472,7.838421654099889,153.37807385538048,12.384590177126592,-0.002737505633106485
Ridge_alpha10.0,7.763872495471719,151.37218149910353,12.303340257795991,0.0095845255215663,7.706065925279169,149.3304476077059,12.220083780715495,0.005483304038393477,7.838653441414063,153.37897208719028,12.384626441164476,-0.0027433779895771337
Ridge_baseline,7.76426854290429,151.37217151332885,12.30333985198039,0.00958459085765162,7.706534367248795,149.33342235183753,12.220205495483189,0.005463492722265428,7.839070772896907,153.38082647639655,12.384701307516325,-0.0027555014017468515
Ridge_alpha1.0,7.76426854290429,151.37217151332885,12.30333985198039,0.00958459085765162,7.706534367248795,149.33342235183753,12.220205495483189,0.005463492722265428,7.839070772896907,153.38082647639655,12.384701307516325,-0.0027555014017468515
Ridge_alpha0.1,7.764308647332421,151.37217141154366,12.303339847843905,0.009584591523623565,7.706581817338515,149.33372318738617,12.220217804416833,0.005461489206032288,7.839112802048525,153.38101322419385,12.384708846969065,-0.0027567222999869134
LinearRegression_baseline,7.764313109228016,151.37217141051354,12.303339847802041,0.009584591530363507,7.706587093567347,149.33375665161356,12.220219173632426,0.005461266339675364,7.83911748211602,153.381033988693,12.384709685280999,-0.002756858051738087
Ridge_poly2,7.769312167436606,151.32439472980744,12.301398080291827,0.009897190340937168,7.709107418874066,149.20746065936768,12.215050579484625,0.006302377278092464,7.846623847615256,153.49241206747192,12.389205465544267,-0.0034850128269914293
RandomForest_tuned,7.006510082099288,122.28851713365061,11.058413861564896,0.19987649962680942,7.822271594593072,150.65359023539904,12.27410242076377,-0.0033286124559319674,7.955617959550021,154.12867150006932,12.414856886008366,-0.007644676463006483
RandomForest_stronger,6.649511428256007,107.13622454501207,10.350663000262934,0.2990166778616151,7.912008991761243,150.91612725639186,12.284792519875614,-0.005077066671855146,8.043031049434603,154.90304471115377,12.446005170782863,-0.012707284452490697
RandomForest_strong,6.593529440840577,105.21913490325161,10.257637881269334,0.31156003443055724,7.921772311369523,150.94455280587914,12.28594940596286,-0.005266376246759963,8.052092707674586,154.89607010520783,12.445724973066367,-0.012661686677051032
DecisionTree_depth10_leaf20,7.82404661719299,147.83505693476891,12.158744052523225,0.03272763457225758,7.966147533443296,152.2230577812287,12.337870877150104,-0.013781013175963919,8.08397533104313,156.6329535710971,12.515308768508154,-0.024016883351403395
RandomForest_baseline,3.22453859105429,22.95797887594635,4.791448515422695,0.8497878717456356,8.48309821373405,159.53093139903072,12.630555466765138,-0.0624502728032712,8.604219021061681,162.2777597869846,12.738828823207594,-0.060920847278074675
DecisionTree_baseline,0.014969710690788342,0.15842372102277014,0.3980247743831659,0.998963446894459,12.812537731189286,332.95538997389195,18.247065242769644,-1.217429195747994,12.747782948459038,322.78107478393935,17.96610906078273,-1.1102409337830297
SGD_interactions_squared_error,2003530.153274321,7311808621676480.0,85509114.26085806,-47840549918849.85,1650576.7694540233,5694512605571333.0,75461994.44469602,-37924535500502.51,1431621.5251929832,4563025957678307.0,67550173.63174063,-29831625550699.93
SGD_baseline_squared_error,3023975.190745918,1.7892096134254324e+16,133761340.20805235,-117066482802363.8,2486193.899110993,1.404965906873516e+16,118531257.7708309,-93568463366102.8,2160182.8858338282,1.125568357161045e+16,106092806.40840098,-73586111659180.39
